accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8750990629196167,0.887247622013092,0.28534743189811707,0.8649442791938782,0.3637317419052124,0.8750897645950317,0.8890969157218933,0.2873273193836212,0.873996376991272,0.35856977105140686,0.0005000000237487257
0.8751301765441895,0.8876557946205139,0.2848953604698181,0.8668528199195862,0.3628418445587158,0.8742471933364868,0.8889490365982056,0.2851777970790863,0.7897900938987732,0.41180533170700073,0.0005000000237487257
0.875314474105835,0.8877556920051575,0.2849247455596924,0.8661342859268188,0.364462286233902,0.8762004375457764,0.8904145956039429,0.2835901975631714,0.8909235596656799,0.3567102253437042,0.0005000000237487257
0.8753743171691895,0.8879303336143494,0.28472983837127686,0.8601067066192627,0.36838051676750183,0.8764302134513855,0.8895398378372192,0.28559964895248413,0.8595041036605835,0.3757305145263672,0.0005000000237487257
0.8752378821372986,0.8883565068244934,0.2842327654361725,0.8627665638923645,0.36591002345085144,0.8801738619804382,0.8913499116897583,0.28454092144966125,0.9234591126441956,0.3653703033924103,0.0005000000237487257
0.8756399750709534,0.8883861303329468,0.2840002477169037,0.8610329031944275,0.3695891797542572,0.8773589134216309,0.8918885588645935,0.28223302960395813,0.9022073745727539,0.35830411314964294,0.0005000000237487257
0.8755011558532715,0.8885799646377563,0.28396937251091003,0.8597792983055115,0.3694165050983429,0.8721312284469604,0.8896784782409668,0.28673842549324036,0.7630642056465149,0.42126235365867615,0.0005000000237487257
0.8757548928260803,0.8889691233634949,0.2835847735404968,0.8578336834907532,0.37227216362953186,0.8798674941062927,0.8914510011672974,0.2861042618751526,0.8412922620773315,0.41090214252471924,0.0005000000237487257
0.8757692575454712,0.8890463709831238,0.2835749089717865,0.8566592335700989,0.37308239936828613,0.8658406734466553,0.8879587650299072,0.289080411195755,0.7002497911453247,0.446817547082901,0.0005000000237487257
0.87602299451828,0.8892914056777954,0.2832251489162445,0.8575124144554138,0.37425121665000916,0.8698716163635254,0.8894256949424744,0.28412702679634094,0.7432344555854797,0.424609512090683,0.0005000000237487257
